Complaint,Complaint_Clean,Category,Urgency,Complaint_Clean_Banglish
Account settings revert after saving,Account settings revert after saving,Account,High,Save korar por account settings abar purber obosthay chole jacche
Password complexity rules hidden until error,Password complexity rules hidden until error,Account,Immediate,Error na asha porjonto password complexity rules dekha jacche na
Account shows incorrect tax information,Account shows incorrect tax information,Account,High,Account e incorrect tax information dekhaocche
Login page vulnerable to phishing,Login page vulnerable to phishing,Account,Medium,Login page phishing er shmukhin ba vulnerable
Account recovery options outdated,Account recovery options outdated,Account,High,Account recovery options gulo purono ba outdated
Password sharing allowed between accounts,Password sharing allowed between accounts,Account,Immediate,Account gulo er majhe password share kora allow korche
Account shows wrong subscription status,Account shows wrong subscription status,Account,High,Account e bhul subscription status dekhaocche
Login timeout too short for complex tasks,Login timeout too short for complex tasks,Account,Medium,Complex kajer jonno login timeout onek beshi choto
Account security audit logs missing,Account security audit logs missing,Account,High,Account security audit logs missing ache
Password hints visible to all users,Password hints visible to all users,Account,Immediate,Password hints shob user der dekha jacche
Account displays wrong shipping addresses,Account displays wrong shipping addresses,Account,High,Account e bhul shipping addresses dekhaocche
Login page stores credentials in cache,Login page stores credentials in cache,Account,Medium,Login page credentials cache e store kore rakhe
Account permissions changed without notice,Account permissions changed without notice,Account,High,Kono notice chara account permissions change hoye geche
Password reset doesn't verify identity,Password reset doesn't verify identity,Account,Immediate,Password reset korar shomoy identity verify kore na
Account shows wrong credit balance,Account shows wrong credit balance,Account,High,Account e bhul credit balance dekhaocche
Login attempts from same IP unlimited,Login attempts from same IP unlimited,Account,Medium,Ek-i IP theke login attempts unlimited
Account security questions too predictable,Account security questions too predictable,Account,High,Account security questions gulo onek beshi predictable
Password emailed in confirmation message,Password emailed in confirmation message,Account,Immediate,Confirmation message er shomoy password email kore dewa hocche
Account shows incorrect privacy settings,Account shows incorrect privacy settings,Account,High,Account e incorrect privacy settings dekhaocche
Login page doesn't time out properly,Login page doesn't time out properly,Account,Medium,Login page thikmoto time out hoy na
Account verification too intrusive,Account verification too intrusive,Account,High,Account verification onek beshi intrusive
Password rules differ across platforms,Password rules differ across platforms,Account,Immediate,Platform gulo te password rules alada alada
Account shows wrong account age,Account shows wrong account age,Account,High,Account e bhul account age dekhaocche
Login page missing brute force protection,Login page missing brute force protection,Account,Medium,Login page e brute force protection missing ache
Account takeover with minimal verification,Account takeover with minimal verification,Account,High,Alpo kichu verification diyei account takeover hoye jacche
Password recovery exposes username,Password recovery exposes username,Account,Immediate,Password recovery korle username ber hoye ashe
Account displays wrong contact preferences,Account displays wrong contact preferences,Account,High,Account e bhul contact preferences dekhaocche
Login session persists after logout,Login session persists after logout,Account,Medium,Logout korar por o login session theke jacche
Account security notifications missing,Account security notifications missing,Account,High,Account security notifications missing ache
Password change doesn't log out devices,Password change doesn't log out devices,Account,Immediate,Password change korle onnanno device theke log out hoy na
Account shows wrong reward tiers,Account shows wrong reward tiers,Account,High,Account e bhul reward tiers dekhaocche
Login page autocomplete not disabled,Login page autocomplete not disabled,Account,Medium,Login page e autocomplete disable kora nei
Account activity logs incomplete,Account activity logs incomplete,Account,High,Account activity logs gulo incomplete ache
Password reset questions hackable,Password reset questions hackable,Account,Immediate,Password reset questions gulo hack kora jay
Account shows incorrect VIP status,Account shows incorrect VIP status,Account,High,Account e incorrect VIP status dekhaocche
Login attempts not throttled,Login attempts not throttled,Account,Medium,Login attempts gulo throttle kora hocche na
Account security audit missing,Account security audit missing,Account,High,Account security audit missing ache
Password reuse across services allowed,Password reuse across services allowed,Account,Immediate,Alada alada service e ek-i password use kora allow kore
Account displays wrong membership date,Account displays wrong membership date,Account,High,Account e bhul membership date dekhaocche
Login page vulnerable to XSS attacks,Login page vulnerable to XSS attacks,Account,Medium,Login page XSS attacks er proti vulnerable
Account permissions too broad,Account permissions too broad,Account,High,Account permissions gulo onek beshi broad
Password complexity not enforced,Password complexity not enforced,Account,Immediate,Password complexity enforce kora hocche na
Account shows wrong purchase limits,Account shows wrong purchase limits,Account,High,Account e bhul purchase limits dekhaocche
Login session sharing allowed,Login session sharing allowed,Account,Medium,Login session sharing allow korche.
Account security features outdated,Account security features outdated,Account,High,Account security features gulo onek purono.
Password reset via unverified email,Password reset via unverified email,Account,Immediate,Unverified email diye password reset hocche.
Account displays wrong business type,Account displays wrong business type,Account,High,Account e bhul business type show korche.
Login page missing security headers,Login page missing security headers,Account,Medium,Login page e security headers nei.
Account recovery too easy,Account recovery too easy,Account,High,Account recovery onek beshi sohoj.
Password expiration notices missing,Password expiration notices missing,Account,Immediate,Password expiration er notice asche na.
Account shows wrong credit tier,Account shows wrong credit tier,Account,High,Account e bhul credit tier show korche.
Login attempts from Tor allowed,Login attempts from Tor allowed,Account,Medium,Tor theke login attempts allow korche.
Account security questions visible,Account security questions visible,Account,High,Account er security questions shobar samne visible.
Password history not maintained,Password history not maintained,Account,Immediate,Password history maintain korche na.
Coupon code says 'expired' but is still valid,Coupon code says 'expired' but is still valid,Promotions,Medium,Coupon code bolche 'expired' kintu eta akhono valid.
Flash sale price disappeared at checkout,Flash sale price disappeared at checkout,Promotions,Immediate,Flash sale er price checkout er shomoy gayeb hoye geche.
Discount applied to wrong items in cart,Discount applied to wrong items in cart,Promotions,High,Cart er bhul item er upor discount chole geche.
Promo email showed wrong discount amount,Promo email showed wrong discount amount,Promotions,Medium,Promo email e bhul discount amount dekhachilo.
BOGO offer only applied to cheaper item,BOGO offer only applied to cheaper item,Promotions,High,BOGO offer shudhu shobcheye shosta item tar upor apply hoyeche.
Limited-time sale ended 3 hours early,Limited-time sale ended 3 hours early,Promotions,Immediate,Limited-time sale 3 ghonta agei shesh hoye geche.
Coupon stackable despite 'one per order' rule,Coupon stackable despite 'one per order' rule,Promotions,Medium,'One per order' rule thaka sotteo coupon stack kora jacche.
Price changed in cart during checkout,Price changed in cart during checkout,Promotions,High,Checkout er shomoy cart er price change hoye geche.
Exclusive promo code not working for target users,Exclusive promo code not working for target users,Promotions,Immediate,Exclusive promo code target users der jonno kaj korche na.
Member discount didn't apply automatically,Member discount didn't apply automatically,Promotions,High,Member discount nij theke apply hoyni.
Coupon required minimum spend not disclosed,Coupon required minimum spend not disclosed,Promotions,Medium,Coupon er jonno minimum spend koto lagbe seta boleni.
Early access sale opened to everyone,Early access sale opened to everyone,Promotions,High,Early access sale shobar jonno khule dewa hoyeche.
Bundle discount calculated incorrectly,Bundle discount calculated incorrectly,Promotions,Immediate,Bundle discount bhulbhal calculate hoyeche.
Promo showed '50% off' but only 30% applied,Promo showed '50% off' but only 30% applied,Promotions,High,Promo te '50% off' dekhachilo kintu shudhu 30% discount peyechi.
Coupon valid only on full-price items (hidden rule),Coupon valid only on full-price items (hidden rule),Promotions,Medium,Coupon shudhu full-price item er upor valid (eta lukano rule chilo).
Price mistake honored then canceled,Price mistake honored then canceled,Promotions,High,Price mistake honor kore abar cancel kore dilo.
Birthday coupon never arrived,Birthday coupon never arrived,Promotions,Immediate,Birthday coupon to kokhono asloi na.
Student discount required unreasonable verification,Student discount required unreasonable verification,Promotions,High,Student discount er jonno unnecessary verification chaiche.
Coupon worked but then order was canceled,Coupon worked but then order was canceled,Promotions,Medium,Coupon kaj korechilo kintu tarpor order cancel hoye geche.
Price increased right before sale started,Price increased right before sale started,Promotions,High,Sale shuru howar ag muhurte price baria dise.
Promo excluded items shown in ad,Promo excluded items shown in ad,Promotions,Immediate,Ad e je item gulo chilo promo shegulo exclude kore dise.
First-time buyer discount didn't apply,First-time buyer discount didn't apply,Promotions,High,First-time buyer discount apply hoyni.
Coupon limited to wrong product category,Coupon limited to wrong product category,Promotions,Medium,Coupon ta bhul product category te limit kora chilo.
Secret sale price visible in cart briefly,Secret sale price visible in cart briefly,Promotions,High,Secret sale er price cart e kichu khoner jonno visible chilo.
Reward points discount capped unexpectedly,Reward points discount capped unexpectedly,Promotions,Immediate,Reward points discount unexpected bhabe cap kore dise.
Promo email had broken redemption link,Promo email had broken redemption link,Promotions,High,Promo email er redemption link broken chilo.
Coupon required account creation at checkout,Coupon required account creation at checkout,Promotions,Medium,Checkout er shomoy coupon use korar jonno account create korte bolche.
Black Friday deal not honored in-store,Black Friday deal not honored in-store,Promotions,High,Black Friday deal in-store honor koreni.
Price glitch showed $1 items,Price glitch showed $1 items,Promotions,Immediate,Price glitch er karone $1 kore item dekhachilo.
Military discount required annual reverification,Military discount required annual reverification,Promotions,High,Military discount er jonno protibar bochor sheshe reverify korte hoy.
Coupon only worked on mobile app (not web),Coupon only worked on mobile app (not web),Promotions,Medium,Coupon shudhu mobile app e kaj korche (web e na).
Limited stock sale showed available when sold out,Limited stock sale showed available when sold out,Promotions,High,Limited stock sale e sold out howar poreo available dekhachilo.
Promo excluded sizes not mentioned,Promo excluded sizes not mentioned,Promotions,Immediate,Promo te je size gulo exclude chilo shegulo mention koreni.
Referral discount didn't apply for both parties,Referral discount didn't apply for both parties,Promotions,High,Referral discount dujon user er keu-i pelo na.
Coupon required social media post proof,Coupon required social media post proof,Promotions,Medium,Coupon er jonno social media post er proof chaiche.
Price match denied for identical item,Price match denied for identical item,Promotions,High,Ek-i item er jonno price match deny kore dise.
Promo countdown timer reset repeatedly,Promo countdown timer reset repeatedly,Promotions,Immediate,Promo er countdown timer bar bar reset hocche.
New customer offer available to existing users,New customer offer available to existing users,Promotions,High,New customer offer existing users rao pacche.
Coupon terms changed after distribution,Coupon terms changed after distribution,Promotions,Medium,Distribute korar por coupon er terms change kore dise.
Sale price showed before login only,Sale price showed before login only,Promotions,High,Login korar agei shudhu sale price dekhaiche
Bulk discount tiers calculated wrong,Bulk discount tiers calculated wrong,Promotions,Immediate,Bulk discount er tier gula vul vabe calculate hoiche
Promo banner showed expired discount,Promo banner showed expired discount,Promotions,High,Promo banner a expired discount dekhaiche
Coupon didn't stack with clearance items,Coupon didn't stack with clearance items,Promotions,Medium,Clearance item er shathe coupon stack hoyni
Price error blamed on 'system glitch',Price error blamed on 'system glitch',Promotions,High,Price error er dosh 'system glitch' er upor deya hoiche
Limited edition restock excluded from sale,Limited edition restock excluded from sale,Promotions,Immediate,Limited edition restock sale theke bad deya hoiche
Promo required newsletter signup after purchase,Promo required newsletter signup after purchase,Promotions,High,Purchase er por promo er jonno newsletter signup chaiche
Coupon valid only at certain hours (undisclosed),Coupon valid only at certain hours (undisclosed),Promotions,Medium,Coupon shudhu nirdishto shomoy er jonno valid chilo (ja age bola hoyni)
Sale extended but prices increased,Sale extended but prices increased,Promotions,High,Sale extend kora hoiche kintu price bariye deya hoiche
Price showed discount before adding to cart,Price showed discount before adding to cart,Promotions,Immediate,Cart a add korar age price discount dekhacchi
Promo items removed from cart automatically,Promo items removed from cart automatically,Promotions,High,Promo item gula cart theke nijei remove hoye geche
Coupon required minimum quantity not shown,Coupon required minimum quantity not shown,Promotions,Medium,Coupon er jonno minimum quantity dorkar chilo ja dekhayni
Early bird special sold out instantly,Early bird special sold out instantly,Promotions,High,Early bird special shonge shonge sold out hoye geche
Discount showed in cart but not checkout,Discount showed in cart but not checkout,Promotions,Immediate,Cart a discount dekhacchi kintu checkout a na
Promo excluded payment methods not listed,Promo excluded payment methods not listed,Promotions,High,Promo a emon payment method bad deya hoiche ja list a chilona
Coupon code case-sensitive without indication,Coupon code case-sensitive without indication,Promotions,Medium,Coupon code case-sensitive chilo kintu kono indication chilona
Price increased during coupon application,Price increased during coupon application,Promotions,High,Coupon apply korar shomoy price bere geche
Member-only sale leaked to public,Member-only sale leaked to public,Promotions,Immediate,Member-only sale public hoye geche
Promo required survey completion post-purchase,Promo required survey completion post-purchase,Promotions,High,Purchase er por promo er jonno survey complete korte bola hoiche
Coupon didn't work with gift cards,Coupon didn't work with gift cards,Promotions,Medium,Gift card er shathe coupon kaj koreni
Sale countdown showed wrong timezone,Sale countdown showed wrong timezone,Promotions,High,Sale countdown a vul timezone dekhaiche
Price mistake on multi-pack items,Price mistake on multi-pack items,Promotions,Immediate,Multi-pack item gulate price vul chilo
Promo items changed after campaign started,Promo items changed after campaign started,Promotions,High,Campaign shuru howar por promo item change kora hoiche
Coupon required app download to activate,Coupon required app download to activate,Promotions,Medium,Coupon activate korar jonno app download korte bola hoiche
Limited-quantity deal showed no limit,Limited-quantity deal showed no limit,Promotions,High,Limited-quantity deal a kono limit dekhayni
Discount disappeared when changing quantity,Discount disappeared when changing quantity,Promotions,Immediate,Quantity change korar shomoy discount milie geche
Promo credit expired before notification,Promo credit expired before notification,Promotions,High,Notification ashar agei promo credit expire hoye geche
Coupon only for first-time use (undisclosed),Coupon only for first-time use (undisclosed),Promotions,Medium,Coupon shudhu first-time use er jonno chilo (ja age bola hoyni)
Price showed after rebate (not instant),Price showed after rebate (not instant),Promotions,High,Price rebate er por dekhaiche (instant na)
Secret sale page found via Google search,Secret sale page found via Google search,Promotions,Immediate,Google search kore secret sale page paoya geche
Promo required in-store pickup for online order,Promo required in-store pickup for online order,Promotions,High,Online order er jonno promo a in-store pickup lagse
Coupon valid only for future purchases,Coupon valid only for future purchases,Promotions,Medium,Coupon shudhu future purchase er jonno valid
Sale price showed to some users but not others,Sale price showed to some users but not others,Promotions,High,Sale price kichu user ke dekhacchi kintu shobai ke na
Price glitch during currency conversion,Price glitch during currency conversion,Promotions,Immediate,Currency conversion er shomoy price glitch korse
Promo items had hidden higher shipping,Promo items had hidden higher shipping,Promotions,High,Promo item gular hidden higher shipping chilo
Coupon required minimum spend after tax,Coupon required minimum spend after tax,Promotions,Medium,Tax er por minimum spend diye coupon apply korte hoiche
Limited-time offer timer ran too fast,Limited-time offer timer ran too fast,Promotions,High,Limited-time offer er timer khub fast cholchilo
Discount applied then removed post-purchase,Discount applied then removed post-purchase,Promotions,Immediate,Discount apply hoye abar purchase er por remove hoye geche
Promo excluded colors not mentioned,Promo excluded colors not mentioned,Promotions,High,Promo a emon color bad deya hoiche ja mention kora chilona
Coupon worked only with specific payment,Coupon worked only with specific payment,Promotions,Medium,Coupon shudhu nirdishto payment er shathe kaj korse
Price showed discount from inflated MSRP,Price showed discount from inflated MSRP,Promotions,High,Inflated MSRP theke discount price dekhaiche
Early access sale had broken queue system,Early access sale had broken queue system,Promotions,Immediate,Early access sale er queue system broken chilo
Promo required following social accounts,Promo required following social accounts,Promotions,High,Promo er jonno social account follow korte bola hoiche
Coupon didn't work on sale items (undisclosed),Coupon didn't work on sale items (undisclosed),Promotions,Medium,Sale item er upor coupon kaj koreni (ja age bola hoyni)
Bulk discount didn't apply automatically,Bulk discount didn't apply automatically,Promotions,High,Bulk discount nijei apply hoyni
Price showed before mandatory fees,Price showed before mandatory fees,Promotions,Immediate,Mandatory fee er age price dekhaiche
Promo items had different return policy,Promo items had different return policy,Promotions,High,Promo item gular alada return policy chilo
Coupon required age verification at checkout,Coupon required age verification at checkout,Promotions,Medium,Checkout er shomoy coupon er jonno age verification lagse
Sale advertised wrong percentage off,Sale advertised wrong percentage off,Promotions,High,Sale a vul percentage off advertise kora hoiche
Discount code leaked before launch,Discount code leaked before launch,Promotions,Immediate,Launch er age discount code leak hoye geche
Promo required manual credit after purchase,Promo required manual credit after purchase,Promotions,High,Purchase er por promo er jonno manual credit lagse
Coupon valid only for certain regions,Coupon valid only for certain regions,Promotions,Medium,Coupon ta shudhu nirdishto kisu region er jonno valid
Price showed comparison to wrong product,Price showed comparison to wrong product,Promotions,High,Price ta vul product er sathe comparison dekhiyeche
VIP sale allowed non-VIPs to checkout,VIP sale allowed non-VIPs to checkout,Promotions,Immediate,VIP sale e non-VIP rao checkout korte pereche
Promo items had no warranty coverage,Promo items had no warranty coverage,Promotions,High,Promo item gulor kono warranty coverage chilo na
Coupon required minimum account age,Coupon required minimum account age,Promotions,Medium,Coupon er jonno account er minimum age lagto
Sale price showed only after email signup,Sale price showed only after email signup,Promotions,High,Sale price shudhu email signup er por dekhiyeche
Price error blamed on 'caching issue',Price error blamed on 'caching issue',Promotions,Immediate,Price error er jonno 'caching issue' ke dosh dewa hoise
Promo excluded certain configurations,Promo excluded certain configurations,Promotions,High,Promo er baire kisu configuration chilo
Coupon required video testimonial,Coupon required video testimonial,Promotions,Medium,Coupon er jonno video testimonial lagse
Limited stock showed available at all stores,Limited stock showed available at all stores,Promotions,High,Limited stock shob store e available dekhiyeche
Discount didn't apply to required accessories,Discount didn't apply to required accessories,Promotions,Immediate,Discount ta required accessories er upor apply hoyni
Promo credit split across future orders,Promo credit split across future orders,Promotions,High,Promo credit future order gulote split kore dewa hoise
Coupon required biometric verification,Coupon required biometric verification,Promotions,Medium,Coupon er jonno biometric verification lagse
Sale advertised limited colors but all worked,Sale advertised limited colors but all worked,Promotions,High,Sale e limited color bolleo shobgulo kaj koreche
Price showed dynamic pricing fluctuations,Price showed dynamic pricing fluctuations,Promotions,Immediate,Price e dynamic pricing fluctuations dekhechi
Promo items had different specs,Promo items had different specs,Promotions,High,Promo item gulor specs alada chilo
Coupon required friend's purchase first,Coupon required friend's purchase first,Promotions,Medium,Coupon er jonno age bondhur purchase korte hoise
Early access sale had broken password system,Early access sale had broken password system,Promotions,High,Early access sale er password system nosto chilo
Discount terms changed post-launch,Discount terms changed post-launch,Promotions,Immediate,Discount terms launch er por change hoyeche
Package marked 'delivered' but never arrived,Package marked 'delivered' but never arrived,Shipping,Immediate,Package 'delivered' dekhaleo kkhono pouhoni
Carrier left package in obvious theft location,Carrier left package in obvious theft location,Shipping,High,Carrier package ta emon jaygay rekheche jekhane churi howar shombhabona chilo
Wrong shipping method used despite selection,Wrong shipping method used despite selection,Shipping,Medium,Selection kora sotteo vul shipping method use kora hoise
Address autofill inserted incorrect unit number,Address autofill inserted incorrect unit number,Shipping,High,Address autofill vul unit number diye diyeche
International shipment stuck in customs,International shipment stuck in customs,Shipping,Immediate,International shipment customs e atke ache
Carrier rerouted package to wrong state,Carrier rerouted package to wrong state,Shipping,High,Carrier package ta vul state e pathiye diyeche
Signature required but left without signature,Signature required but left without signature,Shipping,Medium,Signature dorkar chilo kintu signature charai rekhe geche
Address change requested but ignored,Address change requested but ignored,Shipping,High,Address change korte bolechilam kintu ignore kora hoise
Package damaged during transit (crushed box),Package damaged during transit (crushed box),Shipping,Immediate,Transit er shomoy package nosto hoye geche (box crushed chilo)
Carrier delivered to neighbor without permission,Carrier delivered to neighbor without permission,Shipping,High,Carrier permission charai neighbor er kase deliver koreche
Shipping label printed with wrong zip code,Shipping label printed with wrong zip code,Shipping,Medium,Shipping label ta vul zip code diye print hoyeche
Express shipping took longer than standard,Express shipping took longer than standard,Shipping,High,Express shipping standard er cheye beshi shomoy niyeche
Package left in rain without protection,Package left in rain without protection,Shipping,Immediate,Protection charai package bristi te fele rakha hoise
Carrier marked 'delivery attempted' but no notice,Carrier marked 'delivery attempted' but no notice,Shipping,High,Carrier 'delivery attempted' likheche kintu kono notice dei ni
Address confirmation email had typos,Address confirmation email had typos,Shipping,Medium,Address confirmation email e spelling mistake chilo
Signature confirmation package left unattended,Signature confirmation package left unattended,Shipping,High,Signature confirmation er package unattended fele geche
International duties higher than calculated,International duties higher than calculated,Shipping,Immediate,International duties calculate korar cheye beshi eseche
Carrier delivered to wrong business hours,Carrier delivered to wrong business hours,Shipping,High,Carrier vul business hours e deliver koreche
Shipping weight incorrect causing overcharge,Shipping weight incorrect causing overcharge,Shipping,Medium,Shipping weight vul thakay beshi charge kora hoise
Package scanned at wrong facility repeatedly,Package scanned at wrong facility repeatedly,Shipping,High,Package bar bar vul facility te scan kora hocche
Address autocomplete removed apartment number,Address autocomplete removed apartment number,Shipping,Immediate,Address autocomplete apartment number remove kore diyeche
Carrier left perishables in hot sun,Carrier left perishables in hot sun,Shipping,High,Carrier roddure gorom e perishable items fele rekheche
Signature forged on delivery confirmation,Signature forged on delivery confirmation,Shipping,Medium,Delivery confirmation e signature forgery kora hoise
Shipping insurance claim denied unfairly,Shipping insurance claim denied unfairly,Shipping,High,Shipping insurance claim unfair vabe deny kora hoise
Package dimensions misreported by carrier,Package dimensions misreported by carrier,Shipping,Immediate,Carrier package er dimension vul report koreche
Carrier refused to climb stairs for delivery,Carrier refused to climb stairs for delivery,Shipping,High,Carrier delivery er jonno siri beyeye upore jete chayni
Address change option disappeared at checkout,Address change option disappeared at checkout,Shipping,Medium,Checkout er shomoy address change option chole giyechilo
Signature required but delivered to wrong person,Signature required but delivered to wrong person,Shipping,High,Signature dorkar chilo kintu vul byektir kase deliver kora hoise
International package returned to sender,International package returned to sender,Shipping,Immediate,International package sender er kase return chole geche
Carrier left 'fragile' package upside down,Carrier left 'fragile' package upside down,Shipping,High,Carrier 'fragile' package ulta kore fele rekheche
Shipping cost calculated incorrectly,Shipping cost calculated incorrectly,Shipping,Medium,Shipping cost thikbhabe calculate hoyni
Package marked 'undeliverable' with good address,Package marked 'undeliverable' with good address,Shipping,High,Thik address thaka sotteo package ke 'undeliverable' dekhano hocche
Address verification rejected valid address,Address verification rejected valid address,Shipping,Immediate,Address verification valid address ke reject kore diyeche
Carrier delivered to vacant neighboring property,Carrier delivered to vacant neighboring property,Shipping,High,Carrier khali porar moto pashrorti property te deliver koreche
Shipping delay due to carrier mis-sort,Shipping delay due to carrier mis-sort,Shipping,Medium,Carrier er mis-sort er karone shipping delay hoyeche
Package lost between carrier facilities,Package lost between carrier facilities,Shipping,High,Carrier er facility gulo r moddhe package hariye geche
Address autofill used outdated information,Address autofill used outdated information,Shipping,Immediate,Address autofill purono information use koreche
Carrier left package visible from street,Carrier left package visible from street,Shipping,High,Carrier rasta theke dekha jay emon jaygay package rekhe geche
Shipping label damaged during transit,Shipping label damaged during transit,Shipping,Medium,Transit er shomoy shipping label noshto hoyeche
Package delivered to wrong city with similar name,Package delivered to wrong city with similar name,Shipping,High,Same namer bhul city te package deliver kora hoyeche
Address change deadline passed too quickly,Address change deadline passed too quickly,Shipping,Immediate,Address change er deadline khub taratari shesh hoye geche
Carrier left package at closed business,Carrier left package at closed business,Shipping,High,Carrier bondho business er samne package rekhe geche
Shipping notification came after delivery,Shipping notification came after delivery,Shipping,Medium,Delivery er por shipping notification asche
Package scanned as delivered one day early,Package scanned as delivered one day early,Shipping,High,Ek din agei package ke delivered hishabe scan kora hoyeche
Address system doesn't accept special characters,Address system doesn't accept special characters,Shipping,Immediate,Address system kono special character accept korche na
Carrier refused to release without ID present,Carrier refused to release without ID present,Shipping,High,ID chara carrier package dite raji hoyni
Shipping method downgraded without notice,Shipping method downgraded without notice,Shipping,Medium,Kono notice chara shipping method downgrade kora hoyeche
Package left with unauthorized building staff,Package left with unauthorized building staff,Shipping,High,Unauthorized building staff er kase package rekhe dewa hoyeche
Address fields rearranged during checkout,Address fields rearranged during checkout,Shipping,Immediate,Checkout er shomoy address fields gulo olot-palot hoye geche
Carrier delivered to wrong floor in apartment,Carrier delivered to wrong floor in apartment,Shipping,High,Carrier apartment er bhul floor e deliver koreche
Shipping cost not shown until final step,Shipping cost not shown until final step,Shipping,Medium,Final step er age shipping cost dekhayni
Package marked 'weather delay' falsely,Package marked 'weather delay' falsely,Shipping,High,Mithe kore package ke 'weather delay' bola hoyeche
Address auto-correct changed valid input,Address auto-correct changed valid input,Shipping,Immediate,Address auto-correct valid input change kore diyeche
Carrier left package at wrong business entrance,Carrier left package at wrong business entrance,Shipping,High,Carrier bhul business entrance e package rekhe geche
Shipping timeline estimates were inaccurate,Shipping timeline estimates were inaccurate,Shipping,Medium,Shipping timeline estimates thik chilo na
Package shows 'in transit' for 3 weeks,Package shows 'in transit' for 3 weeks,Shipping,High,Package 3 week dhore 'in transit' dekhacche
Address system rejected PO Box unnecessarily,Address system rejected PO Box unnecessarily,Shipping,Immediate,Address system proyojon chara PO Box reject koreche
Carrier delivered to wrong unit in complex,Carrier delivered to wrong unit in complex,Shipping,High,Carrier complex er bhul unit e deliver koreche
Shipping restrictions not disclosed upfront,Shipping restrictions not disclosed upfront,Shipping,Medium,Shipping restrictions ag theke bola hoyni
Package rerouted to carrier's wrong facility,Package rerouted to carrier's wrong facility,Shipping,High,Package carrier er bhul facility te reroute kora hoyeche
Address confirmation didn't show corrections,Address confirmation didn't show corrections,Shipping,Immediate,Address confirmation e kono correction dekhayni
Carrier left package at demolition site,Carrier left package at demolition site,Shipping,High,Carrier bhangchur ba demolition site e package rekhe geche
Shipping label missing return address,Shipping label missing return address,Shipping,Medium,Shipping label e return address nei
Package dimensions caused oversized fees,Package dimensions caused oversized fees,Shipping,High,Package er size er karone oversized fees dhora hoyeche
Address change required phone confirmation,Address change required phone confirmation,Shipping,Immediate,Address change korar jonno phone confirmation lagse
Carrier delivered to previous tenant,Carrier delivered to previous tenant,Shipping,High,Carrier purono tenant er kase deliver koreche
Shipping options disappeared at checkout,Shipping options disappeared at checkout,Shipping,Medium,Checkout er shomoy shipping options gayeb hoye geche
Package scanned 'delivered' while on truck,Package scanned 'delivered' while on truck,Shipping,High,Truck e thakar shomoy package ke 'delivered' scan kora hoyeche
Address system doesn't support military addresses,Address system doesn't support military addresses,Shipping,Immediate,Address system military address support kore na
Carrier left perishables without refrigeration,Carrier left perishables without refrigeration,Shipping,High,Carrier refrigeration chara perishables rekhe geche
Shipping price changed after address entered,Shipping price changed after address entered,Shipping,Medium,Address dewar por shipping price change hoye geche
Package stuck at 'label created' for days,Package stuck at 'label created' for days,Shipping,High,Koyek din dhore package 'label created' e stuck hoye ache
Address autofill ignored manual corrections,Address autofill ignored manual corrections,Shipping,Immediate,Address autofill manual corrections gulo ignore koreche
Carrier delivered to wrong rural mailbox,Carrier delivered to wrong rural mailbox,Shipping,High,Carrier bhul rural mailbox e deliver koreche
Shipping method unavailable after order placed,Shipping method unavailable after order placed,Shipping,Medium,Order korar por shipping method unavailable hoye geche
Package weight changed during transit,Package weight changed during transit,Shipping,High,Transit er shomoy package er weight change hoye geche
Address system merged two valid addresses,Address system merged two valid addresses,Shipping,Immediate,Address system duita valid address ke ek kore feleche
Carrier left package at construction site,Carrier left package at construction site,Shipping,High,Carrier construction site e package rekhe geche
Shipping deadline passed without pickup,Shipping deadline passed without pickup,Shipping,Medium,Pickup na korei shipping deadline shesh hoye geche
Package contents shifted due to poor packing,Package contents shifted due to poor packing,Shipping,High,Kharap packing er karone package er contentshorie geche
Address change required faxed request,Address change required faxed request,Shipping,Immediate,Address change korar jonno faxed request lagtese
Carrier delivered to similarly named business,Carrier delivered to similarly named business,Shipping,High,Carrier ekta similar namer business-e deliver koreche
Shipping restrictions changed post-purchase,Shipping restrictions changed post-purchase,Shipping,Medium,Purchase-er por shipping restrictions change hoye geche
Package marked 'delivered' before shipping,Package marked 'delivered' before shipping,Shipping,High,Shipping korar agei package 'delivered' dekhacche
Address system truncated long street names,Address system truncated long street names,Shipping,Immediate,Address system lomba street names cut kore diyeche
Carrier left package at wrong dorm building,Carrier left package at wrong dorm building,Shipping,High,Carrier vul dorm building-e package rekhe geche
Shipping cost higher than advertised,Shipping cost higher than advertised,Shipping,Medium,Shipping cost advertised-er theke beshi
Package routing added unnecessary stops,Package routing added unnecessary stops,Shipping,High,Package routing unnecessary stops add koreche
Address confirmation didn't include country,Address confirmation didn't include country,Shipping,Immediate,Address confirmation-e country chilo na
Carrier delivered to wrong military base,Carrier delivered to wrong military base,Shipping,High,Carrier vul military base-e deliver koreche
Shipping speed not honored despite payment,Shipping speed not honored despite payment,Shipping,Medium,Payment kora sotteo shipping speed maintain kora hoyni
Package scanned at impossible locations,Package scanned at impossible locations,Shipping,High,Package impossible locations-e scan hoyeche
Address system rejected valid special characters,Address system rejected valid special characters,Shipping,Immediate,Address system valid special characters reject koreche
Carrier left package at foreclosed property,Carrier left package at foreclosed property,Shipping,High,Carrier foreclosed property-te package rekhe geche
Shipping options limited without explanation,Shipping options limited without explanation,Shipping,Medium,Kono explanation charai shipping options limited chilo
